Rank,Gamertag,Name,Region,,Main Character,Big tournaments attended in 2018,Rating
1,Hungrybox,Juan Debiedma,Central Florida,,Jigglypuff,9,100
2,Armada,Adam Lindgren,Europe,,Peach,6,98.9
3,Leffen,William Hjelte,Europe,,Fox,6,98.7
4,Plup,Justin McGrath,Central Florida,,Sheik,8,97.4
5,Mango,Joseph Marquez,Southern California,,Falco,7,96.2
6,Mew2King,Jason Zimmerman,Central Florida,,Sheik,7,96.1
7,Zain,Zain Naghmi,Maryland/Virginia,,Marth,9,94.6
8,Wizzrobe,Justin Hallett,Central Florida,,Captain Falcon,7,94.4
9,aMSa,Masaya Chikamoto,Japan,,Yoshi,7,93.4
10,Axe,Jeffrey Williamson,Arizona,,Pikachu,6,92.5
11,S2J,Johnny Kim,Southern California,,Fox,5,91.3
12,SFAT,Zac Cordoni,Southern California,,Fox,9,90.7
13,Swedish Delight,James Liu,New Jersey,,Captain Falcon,8,89.1
14,Duck,James Ma,Michigan,,Fox,6,88.9
15,PewPewU,Kevin Toy,Northern California,,Marth,6,87.9
16,n0ne,Edgar Sheleby,Canada,,Captain Falcon,7,86.7
17,Crush,Jack Hoyt,New England,,Fox,2,86.6
18,Lucky,Joey Almada,Southern California,,Fox,7,86
19,Bananas,Connor Lamb,Central Texas,,Ice Climbers,3,85
20,ARMY,Armand Del Duca,Southern California,,Ice Climbers,3,84.9
21,lloD,Arjun Malhotra,Maryland/Virginia,,Peach,4,83.8
22,Westballz,Dennis Weston,Southern California,,Falco,7,83
23,HugS,Hugo Gonzalez,Southern California,,Samus,7,82.3
24,AbsentPage,Charlie McKinley,Minnesota,,Fox,7,81.6
25,KJH,Kalindi Henderson,Michigan,,Fox,8,80.8
26,Rishi,Rishi Malhotra,Maryland/Virginia,,Marth,8,79.3
27,Gahtzu,Jason Diehl,Central Florida,,Captain Falcon,5,79.1
28,Fiction,Shephard Lima,Southern California,,Fox,2,78.1
29,Shroomed,Dajuan McDaniel,Northern California,,Sheik,6,77
30,Colbol,Colin Green,Georgia,,Fox,3,75.3
31,Ryan Ford,Ryan Ford,Canada,,Fox,4,74.9
32,La Luna,Ryan Coker-Welch,New York,,Marth,6,74.5
33,Captain Faceroll,Griffin Williams,Southern California,,Sheik,2,74
34,iBDW,Cody Schwab,New York,,Fox,4,72.9
35,Trif,Álvaro Moral,Europe,,Peach,1,71.1
36,Syrox,Justin Burroughs,Colorado,,Fox,2,70.2
37,Kalamazhu,Kyle Zhu,Northern California,,Peach,3,69.4
38,Hax,Aziz Al-Yami,New York,,Fox,1,68.3
39,Ice,Mustafa Akçakaya,Europe,,Fox,3,68.2
40,Ginger,Avery Wilson,Michigan,,Falco,6,67.4
41,Michael,Michael Rollberg,Illinois,,Jigglypuff,3,66.8
42,Captain Smuckers,Alex Cottrell,New York,,Captain Falcon,1,66.3
43,MikeHaze,Michael Pulido,Southern California,,Fox,3,64.4
44,Bladewise,Theodore Seybold,Washington,,Peach,6,63.7
45,Junebug,Arjun Rao,Maryland/Virginia,,Sheik,1,63.6
46,ChuDat,Daniel Rodriguez,Maryland/Virginia,,Ice Climbers,5,63.5
47,Spud,Te Kelly,Australia,,Marth,1,62.7
48,Santiago,Santiago Piñon,Southern California,,Falco,1,62.4
